,genes,logFC,logCPM,PValue,FDR,log10p,sig
4922,Migut.D00342.v2.0,-0.141575496,4.981662173,0.439735539,0.617250824,0.356808434,FALSE
20558,Migut.L00869.v2.0,-0.189334133,4.582043077,0.439753957,0.617250824,0.356790244,FALSE
5440,Migut.D00860.v2.0,-0.515178139,4.135889271,0.43981598,0.617250824,0.356728995,FALSE
18294,Migut.K00122.v2.0,0.332140193,3.948790805,0.440047057,0.617485387,0.356500879,FALSE
13991,Migut.H01489.v2.0,0.175562529,6.469682853,0.440128082,0.617509354,0.356420921,FALSE
3092,Migut.B01847.v2.0,0.584258867,5.62433591,0.440306009,0.617669251,0.356245388,FALSE
3895,Migut.C00727.v2.0,-0.218240169,4.741291598,0.440501702,0.617854021,0.356052409,FALSE
4932,Migut.D00352.v2.0,-0.343959626,3.952651719,0.440719882,0.618070273,0.355837357,FALSE
24654,Migut.N00871.v2.0,0.159030926,5.105745564,0.440930528,0.618089587,0.355629832,FALSE
21558,Migut.L01869.v2.0,-0.208353046,5.645080094,0.440939372,0.618089587,0.355621121,FALSE
17270,Migut.J00993.v2.0,-0.303751761,4.909122479,0.44096288,0.618089587,0.355597967,FALSE
10967,Migut.F01959.v2.0,-0.121308179,5.431294444,0.440989671,0.618089587,0.355571583,FALSE
21508,Migut.L01819.v2.0,-0.17861868,4.46987338,0.441135934,0.618204864,0.355427564,FALSE
13617,Migut.H01115.v2.0,-0.153369283,5.421868813,0.441220579,0.618233768,0.35534424,FALSE
16618,Migut.J00341.v2.0,-0.171993414,6.638251121,0.441504942,0.618542466,0.355064431,FALSE
21835,Migut.M00091.v2.0,-0.155682618,7.495403152,0.441948354,0.619073869,0.35462848,FALSE
7636,Migut.E00457.v2.0,0.343648944,5.76903268,0.442268025,0.619431809,0.354314458,FALSE
11909,Migut.G00759.v2.0,-0.28905757,7.065554074,0.442465861,0.619619029,0.354120232,FALSE
13653,Migut.H01151.v2.0,-0.150959947,4.770628583,0.442565167,0.619668236,0.354022771,FALSE
18164,Migut.J01887.v2.0,-0.388471717,7.604065601,0.443480632,0.620860026,0.353125342,FALSE
2340,Migut.B01095.v2.0,0.168478178,6.618141947,0.443661105,0.620985209,0.352948644,FALSE
2098,Migut.B00853.v2.0,0.147888721,5.951241213,0.443698658,0.620985209,0.352911885,FALSE
2139,Migut.B00894.v2.0,0.159895856,4.295283997,0.444128696,0.621497003,0.352491165,FALSE
16601,Migut.J00324.v2.0,0.141934927,5.793603547,0.444220375,0.62150678,0.352401525,FALSE
12675,Migut.H00173.v2.0,-0.240563836,4.218675551,0.444328746,0.62150678,0.352295589,FALSE
7509,Migut.E00330.v2.0,-0.495670353,4.144185875,0.444332357,0.62150678,0.35229206,FALSE
3509,Migut.C00341.v2.0,-0.113594286,5.054351561,0.444393116,0.62150678,0.352232678,FALSE
11252,Migut.G00102.v2.0,-0.171105606,4.434618603,0.444459147,0.62150912,0.352168152,FALSE
21066,Migut.L01377.v2.0,-0.141133099,6.280187811,0.444863799,0.621984901,0.351772934,FALSE
5306,Migut.D00726.v2.0,-0.164847311,4.676789782,0.444966632,0.622038617,0.351672555,FALSE
9941,Migut.F00933.v2.0,0.202358724,5.428597093,0.445092028,0.622123855,0.351550184,FALSE
13539,Migut.H01037.v2.0,-0.165747638,6.835801967,0.445309819,0.622197706,0.351337729,FALSE
1082,Migut.A01082.v2.0,-0.142064478,5.272247395,0.445338093,0.622197706,0.351310155,FALSE
14298,Migut.H01796.v2.0,0.262465839,4.368697318,0.445338153,0.622197706,0.351310097,FALSE
7052,Migut.D02472.v2.0,0.198075773,4.313285751,0.445440314,0.622217471,0.35121048,FALSE
22430,Migut.M00686.v2.0,0.127367878,7.74094014,0.445481164,0.622217471,0.351170655,FALSE
23040,Migut.M01296.v2.0,-0.223297279,4.276337157,0.446063178,0.622843409,0.350603626,FALSE
3388,Migut.C00220.v2.0,-0.180468112,5.430928017,0.446084102,0.622843409,0.350583255,FALSE
17628,Migut.J01351.v2.0,-0.146719633,7.540699472,0.446122798,0.622843409,0.350545583,FALSE
3,Migut.A00003.v2.0,-0.148519737,7.672170362,0.446223099,0.622893389,0.350447952,FALSE
25598,Migut.N01815.v2.0,-0.154035314,5.415701261,0.446293386,0.622900415,0.350379549,FALSE
11368,Migut.G00218.v2.0,0.173390839,6.583932077,0.446357137,0.622900415,0.350317517,FALSE
25493,Migut.N01710.v2.0,0.148360333,6.261696727,0.446638705,0.62320329,0.350043645,FALSE
13365,Migut.H00863.v2.0,0.235493835,4.658272869,0.44694972,0.62354716,0.349741331,FALSE
14578,Migut.H02076.v2.0,0.765244886,3.480334746,0.447027674,0.623565831,0.34966559,FALSE
25504,Migut.N01721.v2.0,0.280997538,5.216555383,0.447214317,0.623714283,0.349484301,FALSE
14150,Migut.H01648.v2.0,-0.206532473,4.751253449,0.447263271,0.623714283,0.349436765,FALSE
24689,Migut.N00906.v2.0,-0.184844501,5.124860124,0.447388821,0.623799284,0.349314872,FALSE
24547,Migut.N00764.v2.0,-0.172073701,4.624105412,0.447529206,0.623904944,0.349178617,FALSE
4300,Migut.C01132.v2.0,0.197683506,4.158558517,0.447835371,0.624241654,0.348881608,FALSE
