,genes,logFC,,PValue,FDR,log10p,sig
8903,Migut.E01724.v2.0,4.48595982,3.967541375,2.73E-07,2.29E-05,6.56369167,TRUE
14355,Migut.H01853.v2.0,1.185581028,9.862501232,2.79E-07,2.32E-05,6.554809557,TRUE
14150,Migut.H01648.v2.0,1.161330194,4.751253449,2.88E-07,2.38E-05,6.540389838,TRUE
19510,Migut.K01338.v2.0,-1.494033479,3.939853679,3.08E-07,2.52E-05,6.511203477,TRUE
3877,Migut.C00709.v2.0,1.636094336,5.302637104,3.24E-07,2.61E-05,6.489966385,TRUE
14089,Migut.H01587.v2.0,1.223054572,4.727350449,3.24E-07,2.61E-05,6.489339815,TRUE
6620,Migut.D02040.v2.0,-1.914174517,5.175842792,4.17E-07,3.33E-05,6.379842791,TRUE
5267,Migut.D00687.v2.0,4.313163146,5.114188964,4.24E-07,3.36E-05,6.372331867,TRUE
12713,Migut.H00211.v2.0,-1.57252245,7.1678699,4.61E-07,3.62E-05,6.336766485,TRUE
24630,Migut.N00847.v2.0,1.983228691,3.88867552,4.97E-07,3.84E-05,6.30369835,TRUE
7687,Migut.E00508.v2.0,-1.455887192,4.413327348,4.97E-07,3.84E-05,6.303221738,TRUE
2211,Migut.B00966.v2.0,1.308225608,4.810372047,5.36E-07,4.11E-05,6.271009492,TRUE
19435,Migut.K01263.v2.0,-0.934584558,6.975533815,5.71E-07,4.34E-05,6.243742968,TRUE
12942,Migut.H00440.v2.0,2.230166293,6.107050019,6.06E-07,4.58E-05,6.217198342,TRUE
4020,Migut.C00852.v2.0,-1.469316467,4.421400352,6.12E-07,4.58E-05,6.213525332,TRUE
2434,Migut.B01189.v2.0,-2.048658145,6.472496109,6.28E-07,4.67E-05,6.20183332,TRUE
836,Migut.A00836.v2.0,1.112309662,5.772950928,6.33E-07,4.67E-05,6.198662527,TRUE
22019,Migut.M00275.v2.0,-1.180456721,4.932315828,6.48E-07,4.74E-05,6.188409625,TRUE
16864,Migut.J00587.v2.0,1.749811836,4.59944139,6.92E-07,5.02E-05,6.160177987,TRUE
8891,Migut.E01712.v2.0,6.358022331,4.014095491,6.98E-07,5.03E-05,6.15597869,TRUE
15564,Migut.I00503.v2.0,1.129952901,6.607502242,7.05E-07,5.04E-05,6.151648646,TRUE
17616,Migut.J01339.v2.0,-1.723177063,3.722077869,7.23E-07,5.13E-05,6.14083476,TRUE
15901,Migut.I00840.v2.0,-1.348694077,5.479582944,7.67E-07,5.37E-05,6.115376193,TRUE
4457,Migut.C01289.v2.0,6.369536052,4.149005765,7.67E-07,5.37E-05,6.115315635,TRUE
5658,Migut.D01078.v2.0,2.585275871,3.707680861,7.86E-07,5.46E-05,6.104324763,TRUE
8931,Migut.E01752.v2.0,5.126076672,4.700778992,7.93E-07,5.47E-05,6.100945893,TRUE
25137,Migut.N01354.v2.0,-1.731166754,4.391684751,8.74E-07,5.98E-05,6.058596938,TRUE
22140,Migut.M00396.v2.0,-1.34433396,4.306504571,8.98E-07,6.11E-05,6.046648962,TRUE
965,Migut.A00965.v2.0,-1.628063416,5.339973012,9.15E-07,6.18E-05,6.038367091,TRUE
8795,Migut.E01616.v2.0,3.215446803,6.128790619,1.04E-06,7.01E-05,5.980947243,TRUE
10894,Migut.F01886.v2.0,2.165469996,6.007882662,1.07E-06,7.08E-05,5.969638208,TRUE
21954,Migut.M00210.v2.0,0.951892142,8.882188187,1.08E-06,7.08E-05,5.96755255,TRUE
9587,Migut.F00579.v2.0,-1.067669041,4.858833686,1.08E-06,7.08E-05,5.966637854,TRUE
12662,Migut.H00160.v2.0,-1.225871734,5.767046702,1.08E-06,7.08E-05,5.964619393,TRUE
22242,Migut.M00498.v2.0,1.135559803,4.553487851,1.14E-06,7.39E-05,5.941708743,TRUE
25632,Migut.N01849.v2.0,1.555024167,5.228360375,1.15E-06,7.39E-05,5.940296309,TRUE
17129,Migut.J00852.v2.0,2.096574958,6.129492486,1.17E-06,7.51E-05,5.930222117,TRUE
13892,Migut.H01390.v2.0,-4.469987941,5.666939865,1.20E-06,7.61E-05,5.921405277,TRUE
23999,Migut.N00216.v2.0,0.851913058,5.517247306,1.24E-06,7.83E-05,5.906556654,TRUE
15581,Migut.I00520.v2.0,-2.997890353,3.976553229,1.31E-06,8.22E-05,5.882556168,TRUE
19203,Migut.K01031.v2.0,1.583438931,6.189539606,1.32E-06,8.24E-05,5.87873903,TRUE
6888,Migut.D02308.v2.0,2.220488848,4.176667713,1.35E-06,8.34E-05,5.870602708,TRUE
16299,Migut.J00022.v2.0,-1.063140619,6.603502506,1.36E-06,8.39E-05,5.865287569,TRUE
15420,Migut.I00359.v2.0,1.2933029,5.855709387,1.39E-06,8.52E-05,5.855679469,TRUE
15416,Migut.I00355.v2.0,3.522141274,4.532669693,1.44E-06,8.77E-05,5.840414386,TRUE
7992,Migut.E00813.v2.0,1.521064434,9.74203032,1.59E-06,9.60E-05,5.798631283,TRUE
24497,Migut.N00714.v2.0,-1.815796289,6.672235418,1.66E-06,9.93E-05,5.781059864,TRUE
22115,Migut.M00371.v2.0,-1.877976065,4.531440316,1.69E-06,0.00010091,5.771394965,TRUE
20531,Migut.L00842.v2.0,1.531336417,5.06038007,1.88E-06,0.000111332,5.72603419,TRUE
9494,Migut.F00486.v2.0,-1.037522437,4.825386819,1.91E-06,0.000112525,5.71874947,TRUE
22912,Migut.M01168.v2.0,1.662132262,4.380906826,2.02E-06,0.000118299,5.694378669,TRUE
23916,Migut.N00133.v2.0,-0.812708323,5.932921754,2.07E-06,0.000120379,5.68418486,TRUE
14001,Migut.H01499.v2.0,-1.201025206,5.3822281,2.31E-06,0.000133631,5.636219163,TRUE
15688,Migut.I00627.v2.0,-1.225406726,5.751085604,2.47E-06,0.000142135,5.606831492,TRUE
20905,Migut.L01216.v2.0,-1.034744755,7.822101521,2.58E-06,0.000147221,5.588986404,TRUE
11285,Migut.G00135.v2.0,-2.404493965,3.778486264,2.64E-06,0.00014971,5.579142784,TRUE
19542,Migut.K01370.v2.0,0.866286186,6.772701466,2.72E-06,0.000153635,5.56535478,TRUE
7877,Migut.E00698.v2.0,-1.302829467,4.261457916,2.90E-06,0.000162798,5.53766534,TRUE
