"","genes","logFC","logCPM","PValue","FDR"
"5038","Migut.D00458.v2.0",1.47502372103959,4.97036109234704,7.91765765826124e-10,3.18586750024287e-07
"7257","Migut.E00078.v2.0",-4.51984595209266,4.70337147141498,1.29069313335271e-09,4.98568943551485e-07
"18440","Migut.K00268.v2.0",-2.73843094986383,4.64007653620503,1.61151138634149e-09,5.64861766287244e-07
"13389","Migut.H00887.v2.0",2.98969821087809,7.0160400953333,1.63712834329078e-09,5.64861766287244e-07
"6881","Migut.D02301.v2.0",-1.6821038630196,5.39952048499983,1.63778911215106e-09,5.64861766287244e-07
"3959","Migut.C00791.v2.0",1.95611748413683,4.63003412559009,1.72082679292964e-09,5.73035322045569e-07
"18126","Migut.J01849.v2.0",-1.43111941285546,7.23723609741747,3.13032606793983e-09,1.00765196126983e-06
"25709","Migut.N01926.v2.0",-2.60419043149171,5.15632243506345,7.41839203070007e-09,2.31094876904744e-06
"9066","Migut.F00058.v2.0",-2.47140278466391,7.05303982265755,8.20041621366972e-09,2.40845936744931e-06
"7438","Migut.E00259.v2.0",-2.3711415391959,4.49464175817772,8.23021219072456e-09,2.40845936744931e-06
"7490","Migut.E00311.v2.0",-3.09010691846311,5.3578966719586,8.53026110128715e-09,2.42284504279794e-06
"3171","Migut.C00003.v2.0",-7.02713365618893,5.37528838751283,8.88149065647605e-09,2.45053015055969e-06
"27428","Migut.O00269.v2.0",-2.74896181656151,5.22317388848333,1.00231263541646e-08,2.64463308496879e-06
"26481","Migut.N02698.v2.0",1.63577597638423,4.76329514933402,1.0132693812141e-08,2.64463308496879e-06
"15738","Migut.I00677.v2.0",-1.62023593794422,4.66492660993899,1.27161026366326e-08,3.23156324110422e-06
"8455","Migut.E01276.v2.0",2.05021590961063,6.24888360491688,1.75112839788463e-08,4.33606331753125e-06
"6082","Migut.D01502.v2.0",-1.78420069091724,4.33613274610421,1.82068104523434e-08,4.35850488732851e-06
"17307","Migut.J01030.v2.0",-1.22041052942137,8.81541353003372,1.85045770301821e-08,4.35850488732851e-06
"1716","Migut.B00471.v2.0",-1.38988704793968,4.79838359388635,2.02506051785709e-08,4.65619271927283e-06
"5380","Migut.D00800.v2.0",-2.12092353017905,7.964386694485,2.56814395851521e-08,5.76757353660033e-06
"7045","Migut.D02465.v2.0",1.72426531018324,4.86597015483167,2.7861267266578e-08,6.11491495439417e-06
"7953","Migut.E00774.v2.0",-1.6147937405929,4.16045856685589,3.39956264141167e-08,7.27342866787791e-06
"8319","Migut.E01140.v2.0",-1.15532297362298,5.17766804375674,3.46461342779729e-08,7.27342866787791e-06
"2100","Migut.B00855.v2.0",-1.90076849223764,6.4747610033649,4.71095999366793e-08,9.67951928911727e-06
"18761","Migut.K00589.v2.0",-2.59204230901339,4.81933261163066,4.97641793789802e-08,1.00119308388086e-05
"19106","Migut.K00934.v2.0",-3.26708547914461,3.98188446531087,5.2165684697848e-08,1.02808983087167e-05
"18862","Migut.K00690.v2.0",1.09110650248773,7.48196389125444,7.77803331113032e-08,1.50224935371171e-05
"17129","Migut.J00852.v2.0",2.42731188396854,6.1294924859499,8.30629023531024e-08,1.57282048632139e-05
"11726","Migut.G00576.v2.0",-1.05791319675129,8.92080819237303,8.49022935278629e-08,1.57673355499725e-05
"24864","Migut.N01081.v2.0",1.08846926083729,5.77370440536415,9.05633838098583e-08,1.65013320273925e-05
"5359","Migut.D00779.v2.0",-1.17612188989055,8.37863565791571,1.61937296459134e-07,2.89597865167751e-05
"23522","Migut.M01778.v2.0",-1.30522805067495,6.23551714643518,1.68921196904628e-07,2.96594908819634e-05
"26110","Migut.N02327.v2.0",-1.46145798912648,8.12332756583077,2.18025792991928e-07,3.75977693379116e-05
"11785","Migut.G00635.v2.0",-1.41211528480044,5.10298280745368,2.49797775678866e-07,4.19060211544385e-05
"7258","Migut.E00079.v2.0",-1.38985605022306,6.9540282117557,2.54704564308831e-07,4.19060211544385e-05
"11545","Migut.G00395.v2.0",-1.1084178123031,8.868372623369,2.5602725982312e-07,4.19060211544385e-05
