"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"7700","Migut.E00521.v2.0",33,42,3,13,14,23,9,32,137,6,141,11,43,6,9,25,24,10,17,55,0,33
"7701","Migut.E00522.v2.0",0,1,0,2,0,0,0,2,2,2,4,0,2,2,0,1,0,0,1,3,0,1
"7702","Migut.E00523.v2.0",9,9,0,6,0,1,0,3,8,0,3,1,17,6,7,1,6,0,4,9,0,7
"7703","Migut.E00524.v2.0",869,1860,193,1212,905,725,755,995,4984,233,8210,849,2566,792,1146,538,452,258,323,1154,119,1421
"7704","Migut.E00525.v2.0",168,243,29,99,182,155,90,299,1206,62,1822,120,483,106,152,141,139,69,49,195,19,250
"7705","Migut.E00526.v2.0",0,5,3,17,15,4,6,7,42,0,73,3,1,30,4,3,0,1,2,3,5,11
"7706","Migut.E00527.v2.0",309,286,28,219,189,168,129,237,1730,154,2317,226,665,115,208,181,148,118,71,512,25,295
"7707","Migut.E00528.v2.0",112,146,22,90,152,83,51,132,991,46,1446,94,183,60,66,70,103,67,45,216,21,262
"7708","Migut.E00529.v2.0",108,180,35,203,456,132,119,261,2371,56,3782,237,256,216,199,74,119,74,50,301,11,460
"7709","Migut.E00530.v2.0",18,12,0,1,4,5,7,11,21,0,40,4,18,6,6,10,9,7,6,14,1,12
"7710","Migut.E00531.v2.0",0,6,0,1,4,1,0,1,10,0,85,2,16,9,3,0,0,0,0,0,0,0
"7711","Migut.E00532.v2.0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7712","Migut.E00533.v2.0",83,62,2,25,53,37,11,51,269,7,430,30,98,34,43,39,40,12,25,76,1,64
"7713","Migut.E00534.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7714","Migut.E00535.v2.0",0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"7715","Migut.E00536.v2.0",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7716","Migut.E00537.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7717","Migut.E00538.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7718","Migut.E00539.v2.0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7719","Migut.E00540.v2.0",522,461,34,236,374,345,148,661,2610,626,3033,339,1140,127,204,455,221,229,197,1733,14,320
"7720","Migut.E00541.v2.0",12,27,8,8,74,14,19,32,225,4,355,22,36,36,44,21,11,6,10,24,1,37
"7721","Migut.E00542.v2.0",1303,909,126,363,361,697,476,1020,2576,104,3506,649,1668,398,544,831,785,411,473,696,49,994
"7722","Migut.E00543.v2.0",0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0
"7723","Migut.E00544.v2.0",1,2,0,0,1,0,0,3,6,0,5,0,0,0,0,0,0,0,0,2,0,1
"7724","Migut.E00545.v2.0",0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,3
"7725","Migut.E00546.v2.0",0,0,0,0,1,2,1,3,35,5,47,0,0,0,0,0,0,0,0,0,0,0
"7726","Migut.E00547.v2.0",0,0,0,1,8,1,0,2,41,1,36,4,1,0,1,0,0,0,0,0,0,0
"7727","Migut.E00548.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7728","Migut.E00549.v2.0",1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"7729","Migut.E00550.v2.0",0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0
"7730","Migut.E00551.v2.0",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
"7731","Migut.E00552.v2.0",9,16,3,14,3,7,3,1,46,2,69,33,51,30,28,1,3,2,0,2,0,6
"7732","Migut.E00553.v2.0",52,56,6,41,61,4,26,9,250,3,582,35,67,45,32,15,30,12,12,47,5,79
"7733","Migut.E00554.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"7734","Migut.E00555.v2.0",0,1,1,0,2,0,0,0,11,0,2,2,5,0,1,0,0,0,0,0,0,1
"7735","Migut.E00556.v2.0",64,109,7,49,129,49,44,112,867,32,1001,65,158,38,56,50,52,25,47,123,7,128
"7736","Migut.E00557.v2.0",4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7737","Migut.E00558.v2.0",318,398,57,239,365,208,164,374,2581,103,3866,289,698,241,269,156,154,90,117,297,24,287
"7738","Migut.E00559.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7739","Migut.E00560.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7740","Migut.E00561.v2.0",0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"7741","Migut.E00562.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7742","Migut.E00563.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7743","Migut.E00564.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7744","Migut.E00565.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7745","Migut.E00566.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7746","Migut.E00567.v2.0",202,327,31,192,255,149,161,285,1945,56,2753,99,391,190,149,139,176,81,82,207,12,422
"7747","Migut.E00568.v2.0",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7748","Migut.E00569.v2.0",208,283,34,129,139,139,112,221,996,54,1617,146,397,111,146,131,161,80,80,169,11,296
"7749","Migut.E00570.v2.0",806,942,120,441,351,296,375,637,3232,171,4629,406,1347,353,617,591,728,255,292,1078,51,993
"7750","Migut.E00571.v2.0",0,0,1,0,12,1,0,0,10,1,34,0,0,0,3,0,0,0,0,0,0,2
"7751","Migut.E00572.v2.0",92,126,17,58,125,79,73,169,897,51,1234,65,235,80,57,66,79,33,32,160,6,168
"7752","Migut.E00573.v2.0",0,0,0,0,2,2,2,4,14,1,10,8,4,0,1,0,0,1,2,1,0,4
"7753","Migut.E00574.v2.0",82,175,27,86,166,102,83,174,1364,66,1987,143,454,116,170,100,79,53,68,217,15,202
"7754","Migut.E00575.v2.0",0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
"7755","Migut.E00576.v2.0",21,31,4,23,25,7,6,16,211,7,277,7,45,11,28,7,12,5,9,28,2,23
"7756","Migut.E00577.v2.0",640,737,126,197,720,349,451,716,5230,254,7528,498,1325,324,665,440,393,184,228,1064,48,743
"7757","Migut.E00578.v2.0",145,248,34,111,283,122,93,256,2038,55,3121,98,430,151,203,76,126,60,51,415,27,416
"7758","Migut.E00579.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7759","Migut.E00580.v2.0",1521,1232,154,361,420,542,463,996,3170,80,4908,577,1898,495,503,1387,643,492,624,625,51,880
"7760","Migut.E00581.v2.0",2,3,0,0,0,4,0,1,8,0,14,2,0,0,1,1,0,1,0,3,0,8
"7761","Migut.E00582.v2.0",46,39,7,20,72,19,20,33,480,11,663,23,58,29,31,22,38,9,18,65,6,93
"7762","Migut.E00583.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7763","Migut.E00584.v2.0",0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"7764","Migut.E00585.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7765","Migut.E00586.v2.0",322,488,50,166,324,238,178,418,2110,93,2890,226,751,200,272,266,348,148,155,441,25,531
"7766","Migut.E00587.v2.0",40,16,3,2,11,17,6,16,101,13,169,13,71,3,14,18,12,6,11,20,0,27
"7767","Migut.E00588.v2.0",260,284,30,121,284,142,112,239,1960,76,2746,183,434,163,172,158,182,87,121,366,16,334
"7768","Migut.E00589.v2.0",53,41,9,21,65,50,16,41,402,9,571,24,54,20,19,53,37,7,11,31,9,52
"7769","Migut.E00590.v2.0",277,279,36,122,187,221,138,297,1225,33,1723,172,444,123,148,194,180,102,77,213,11,306
"7770","Migut.E00591.v2.0",48,60,7,9,40,21,24,44,267,6,344,25,81,23,29,45,34,18,12,45,3,33
"7771","Migut.E00592.v2.0",85,57,6,17,19,25,13,46,161,5,218,9,71,27,24,39,32,33,26,32,2,51
"7772","Migut.E00593.v2.0",37,49,4,17,22,21,22,25,133,18,231,30,79,13,28,25,20,26,28,55,4,106
"7773","Migut.E00594.v2.0",80,128,20,52,48,68,58,99,466,25,645,48,228,43,53,61,69,42,40,82,3,132
"7774","Migut.E00595.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7775","Migut.E00596.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7776","Migut.E00597.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7777","Migut.E00598.v2.0",211,260,38,112,145,119,112,208,1032,22,1300,158,334,144,98,148,146,77,48,171,14,231
"7778","Migut.E00599.v2.0",26,29,3,10,16,7,10,22,144,1,200,12,49,6,5,10,4,2,3,3,0,34
"7779","Migut.E00600.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7780","Migut.E00601.v2.0",52,39,6,8,57,19,26,44,306,8,414,22,55,19,25,24,37,14,9,48,1,40
"7781","Migut.E00602.v2.0",79,68,5,35,63,55,16,59,352,8,464,45,119,25,40,27,41,29,14,35,5,85
"7782","Migut.E00603.v2.0",10,10,0,2,10,8,8,21,100,1,112,11,15,12,11,8,3,5,1,21,1,8
"7783","Migut.E00604.v2.0",11,13,3,4,4,10,7,6,65,2,100,9,16,5,4,9,8,5,4,4,2,16
"7784","Migut.E00605.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7785","Migut.E00606.v2.0",0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0
"7786","Migut.E00607.v2.0",8,4,0,0,0,2,2,4,24,4,17,1,20,4,4,3,17,1,11,12,2,15
"7787","Migut.E00608.v2.0",238,83,6,4,4,23,12,13,9,2,31,13,853,0,33,285,69,41,74,33,0,3
"7788","Migut.E00609.v2.0",0,0,0,0,0,1,0,0,4,0,6,2,1,0,0,0,0,0,1,0,0,0
"7789","Migut.E00610.v2.0",3,5,1,2,2,1,1,1,15,0,11,0,4,0,0,9,1,1,0,2,0,2
"7790","Migut.E00611.v2.0",99,138,23,21,306,55,67,150,1334,56,2100,26,131,40,68,145,78,44,60,132,15,106
"7791","Migut.E00612.v2.0",25,27,7,25,41,26,11,34,237,7,357,18,45,24,19,23,25,9,23,64,1,83
"7792","Migut.E00613.v2.0",707,617,77,152,459,283,271,597,2466,85,3288,308,884,199,269,365,510,286,249,670,45,806
"7793","Migut.E00614.v2.0",30,99,16,70,21,49,33,69,339,11,466,87,226,103,128,11,15,11,9,29,0,40
"7794","Migut.E00615.v2.0",48,26,5,6,48,15,44,40,258,9,441,12,36,13,22,35,12,19,8,64,0,39
"7795","Migut.E00616.v2.0",55,84,8,29,30,26,14,44,158,2,286,25,94,34,22,62,30,32,34,38,2,65
"7796","Migut.E00617.v2.0",0,0,0,0,0,1,1,0,8,0,4,2,1,1,0,0,1,0,0,0,0,7
"7797","Migut.E00618.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7798","Migut.E00619.v2.0",8,2,0,7,6,1,0,1,24,0,13,10,3,1,2,2,0,3,0,2,0,5
"7799","Migut.E00620.v2.0",4,8,1,0,15,2,1,5,59,0,81,0,5,4,1,2,1,0,0,6,1,10
"7800","Migut.E00621.v2.0",0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0
"7801","Migut.E00622.v2.0",139,168,18,41,92,80,51,108,668,24,961,75,192,57,84,77,99,51,40,163,15,143
"7802","Migut.E00623.v2.0",1,5,5,1,3,1,0,6,28,0,49,6,13,0,2,4,0,2,1,7,0,5
"7803","Migut.E00624.v2.0",56,75,14,40,38,27,20,62,364,18,551,31,84,24,62,42,54,17,13,61,6,99
"7804","Migut.E00625.v2.0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7805","Migut.E00626.v2.0",14,8,4,29,14,0,2,13,129,11,180,5,32,4,16,4,13,13,12,12,3,31
"7806","Migut.E00627.v2.0",1,7,1,4,8,9,6,3,83,4,100,0,12,0,4,3,1,0,0,2,0,7
"7807","Migut.E00628.v2.0",29,35,4,17,20,21,9,59,211,11,232,20,87,15,17,51,24,12,12,44,1,64
"7808","Migut.E00629.v2.0",242,260,14,87,183,121,63,190,1501,36,2183,66,620,44,161,202,34,33,39,166,18,326
"7809","Migut.E00630.v2.0",152,270,31,171,185,117,71,190,1062,34,1415,161,390,173,139,102,121,62,64,280,18,342
"7810","Migut.E00631.v2.0",315,235,39,81,143,116,57,217,812,51,1231,127,373,74,137,133,137,78,74,180,11,190
"7811","Migut.E00632.v2.0",115,161,19,113,101,81,75,123,857,27,1053,79,258,108,78,105,108,36,61,127,15,206
"7812","Migut.E00633.v2.0",97,107,13,17,89,45,50,87,548,30,726,34,200,39,75,87,54,33,49,138,2,73
"7813","Migut.E00634.v2.0",84,109,19,45,75,50,58,78,639,17,770,70,160,74,71,59,45,29,19,94,5,113
"7814","Migut.E00635.v2.0",34,41,8,34,28,26,22,35,202,4,332,30,41,26,12,15,28,10,10,40,3,71
"7815","Migut.E00636.v2.0",7,12,6,23,37,19,47,54,247,1,557,10,10,16,6,8,0,1,0,14,5,43
"7816","Migut.E00637.v2.0",935,1122,136,569,1006,563,533,972,4468,168,6712,657,2550,596,928,559,751,297,385,1717,97,1993
"7817","Migut.E00638.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7818","Migut.E00639.v2.0",39,32,5,30,69,12,14,35,269,4,363,25,54,31,33,19,9,18,8,75,2,42
"7819","Migut.E00640.v2.0",9,2,0,1,4,3,0,6,22,4,10,2,16,3,4,13,4,6,0,1,0,0
"7820","Migut.E00641.v2.0",2,0,0,0,2,0,0,0,8,2,1,0,2,0,0,4,1,1,2,0,0,0
"7821","Migut.E00642.v2.0",90,89,15,77,51,40,22,58,363,13,471,105,244,86,79,69,55,46,41,75,6,90
"7822","Migut.E00643.v2.0",0,0,0,0,0,10,5,4,61,1,33,0,0,0,0,0,0,1,0,0,0,0
"7823","Migut.E00644.v2.0",563,951,80,428,687,461,314,669,4324,146,6724,451,1378,494,515,323,440,200,177,958,71,923
"7824","Migut.E00645.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7825","Migut.E00646.v2.0",550,555,77,446,231,391,302,553,2353,105,3758,409,895,357,437,232,192,109,125,268,34,425
"7826","Migut.E00647.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7827","Migut.E00648.v2.0",778,814,145,203,583,481,534,878,5068,172,6450,279,960,248,344,503,566,304,250,913,58,1010
"7828","Migut.E00649.v2.0",6,1,1,0,1,15,13,8,9,0,7,2,14,1,4,9,5,1,8,2,0,1
"7829","Migut.E00650.v2.0",295,416,38,124,156,149,122,219,1250,49,1676,187,550,143,211,137,159,111,57,218,13,307
"7830","Migut.E00651.v2.0",174,250,19,112,172,124,111,201,1464,58,2019,154,455,142,174,101,137,63,60,277,20,345
"7831","Migut.E00652.v2.0",0,2,0,0,1,0,0,0,2,0,6,0,2,1,2,0,0,0,0,0,0,1
"7832","Migut.E00653.v2.0",2,2,0,0,0,1,1,0,31,0,45,2,0,2,2,0,0,0,0,4,0,0
"7833","Migut.E00654.v2.0",0,0,0,0,6,0,1,0,17,0,23,3,2,0,0,0,0,0,0,2,0,0
"7834","Migut.E00655.v2.0",12,11,2,20,43,11,17,26,295,3,332,8,16,6,7,4,10,4,0,70,6,50
"7835","Migut.E00656.v2.0",78,49,18,36,93,54,36,96,731,25,964,50,192,23,31,63,48,19,47,77,2,79
"7836","Migut.E00657.v2.0",156,163,15,61,86,107,72,160,489,21,813,163,297,93,61,96,81,34,67,77,3,99
"7837","Migut.E00658.v2.0",17,12,4,5,14,17,6,28,109,5,123,21,41,10,17,9,7,9,3,17,1,38
"7838","Migut.E00659.v2.0",10,9,1,0,0,0,0,0,1,0,1,0,0,0,0,16,10,6,7,14,0,19
"7839","Migut.E00660.v2.0",9,15,1,19,16,12,3,10,66,3,142,5,12,6,17,2,3,3,1,7,0,11
"7840","Migut.E00661.v2.0",200,185,18,124,131,101,68,126,979,37,1301,151,247,73,63,82,96,78,51,158,9,243
"7841","Migut.E00662.v2.0",58,58,6,33,40,42,15,70,342,13,519,42,78,31,41,32,34,35,13,53,6,73
"7842","Migut.E00663.v2.0",7,2,3,5,1,1,0,7,15,2,29,4,7,4,2,1,0,2,3,4,0,4
"7843","Migut.E00664.v2.0",76,80,24,58,86,49,48,78,483,36,826,63,223,46,54,103,65,36,26,87,10,129
"7844","Migut.E00665.v2.0",7,0,0,2,5,5,0,1,25,0,38,2,9,7,3,3,1,0,1,3,3,5
"7845","Migut.E00666.v2.0",0,0,1,0,2,1,0,6,14,0,35,0,1,1,3,0,0,0,0,2,1,12
"7846","Migut.E00667.v2.0",78,100,17,64,104,48,33,80,639,18,817,65,125,35,41,72,59,20,33,73,2,104
"7847","Migut.E00668.v2.0",169,291,35,128,173,204,121,303,1695,77,2135,194,470,125,189,173,177,84,89,240,18,370
"7848","Migut.E00669.v2.0",0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"7849","Migut.E00670.v2.0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7850","Migut.E00671.v2.0",0,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0
"7851","Migut.E00672.v2.0",62,101,6,39,46,41,35,84,380,20,520,56,176,70,60,48,37,32,18,96,6,145
"7852","Migut.E00673.v2.0",120,120,19,55,135,62,73,103,831,21,1044,77,203,71,65,101,61,58,62,197,23,261
"7853","Migut.E00674.v2.0",193,225,26,95,155,122,118,203,834,25,1438,103,241,109,105,95,95,59,47,180,13,174
"7854","Migut.E00675.v2.0",178,381,54,157,404,173,240,312,2370,47,3276,158,349,256,168,167,148,67,57,241,38,306
"7855","Migut.E00676.v2.0",269,408,68,430,285,231,237,365,2328,83,3479,217,463,177,173,186,180,85,90,299,37,515
"7856","Migut.E00677.v2.0",30,19,3,11,36,11,13,20,192,4,261,20,22,12,12,14,13,5,3,28,5,30
"7857","Migut.E00678.v2.0",2,10,2,8,8,7,3,11,43,0,80,3,6,1,1,2,2,5,1,14,0,10
"7858","Migut.E00679.v2.0",5,9,0,2,8,8,0,0,33,0,30,1,11,1,4,2,3,2,0,3,0,4
"7859","Migut.E00680.v2.0",2,0,1,0,1,4,0,3,18,1,36,2,0,5,3,0,0,0,0,5,1,0
"7860","Migut.E00681.v2.0",119,186,7,87,97,57,58,101,481,50,691,86,202,50,83,61,62,26,55,309,12,158
"7861","Migut.E00682.v2.0",779,1009,171,418,1337,519,442,726,7656,208,10703,525,1324,569,577,366,486,317,301,1479,94,1304
"7862","Migut.E00683.v2.0",20402,33600,3226,11622,28398,10061,17293,18049,164190,3345,202779,16186,35307,21524,18119,12555,12824,7684,4997,28869,3129,39123
"7863","Migut.E00684.v2.0",114,149,29,54,91,91,57,175,803,45,1269,58,280,71,90,101,113,45,51,190,8,139
"7864","Migut.E00685.v2.0",179,207,30,110,96,129,71,166,727,29,1099,128,349,90,89,131,93,84,68,112,9,212
"7865","Migut.E00686.v2.0",75,114,12,37,56,77,39,105,538,29,709,52,154,46,60,69,62,32,46,91,5,87
"7866","Migut.E00687.v2.0",221,216,24,129,191,121,123,157,1061,38,1494,141,268,182,103,140,119,69,70,182,22,267
"7867","Migut.E00688.v2.0",0,0,0,0,0,1,0,2,11,3,17,2,0,2,1,2,0,1,1,1,0,3
"7868","Migut.E00689.v2.0",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"7869","Migut.E00690.v2.0",0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"7870","Migut.E00691.v2.0",244,277,39,131,157,147,103,250,1328,56,1954,201,398,118,153,117,119,114,94,230,22,310
"7871","Migut.E00692.v2.0",387,294,65,209,580,195,203,284,3285,118,4192,207,456,160,167,246,258,144,200,644,51,609
"7872","Migut.E00693.v2.0",251,264,32,78,183,107,79,206,1173,42,1699,128,382,106,113,142,139,88,75,277,17,266
"7873","Migut.E00694.v2.0",0,0,0,0,1,0,0,1,1,0,5,0,0,0,0,1,0,0,0,0,0,0
"7874","Migut.E00695.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7875","Migut.E00696.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7876","Migut.E00697.v2.0",226,266,38,134,334,148,138,202,1668,48,2672,150,426,112,218,141,134,74,98,396,20,266
"7877","Migut.E00698.v2.0",124,131,20,44,150,53,49,111,1094,17,1428,51,164,49,50,92,81,50,33,225,17,253
"7878","Migut.E00699.v2.0",1049,2520,214,1234,1794,623,1163,936,12865,257,14740,1547,3756,2126,1654,580,491,334,300,1714,234,2054
"7879","Migut.E00700.v2.0",930,695,125,400,912,736,334,816,8325,316,10580,465,1767,379,398,948,532,305,425,652,27,697
"7880","Migut.E00701.v2.0",188,251,41,156,293,131,124,212,1669,55,2185,88,286,118,104,102,162,52,94,300,30,346
"7881","Migut.E00702.v2.0",63,47,16,17,76,35,35,78,428,13,694,15,66,23,44,48,27,16,22,61,7,36
"7882","Migut.E00703.v2.0",180,225,23,18,178,58,55,166,616,14,861,20,79,28,25,151,179,86,72,285,21,356
"7883","Migut.E00704.v2.0",310,432,55,284,157,218,159,306,1704,60,2025,435,1010,283,368,143,169,112,103,286,21,409
"7884","Migut.E00705.v2.0",25,44,7,11,45,17,16,46,287,16,363,19,56,12,26,23,26,15,12,61,3,48
"7885","Migut.E00706.v2.0",559,456,70,130,856,278,248,384,3772,127,4951,147,441,201,145,451,308,223,175,469,42,506
"7886","Migut.E00707.v2.0",5,1,0,0,4,3,1,1,17,0,32,0,1,3,0,0,4,0,4,3,0,3
"7887","Migut.E00708.v2.0",62,108,13,36,43,51,44,77,342,8,482,38,59,51,50,29,27,22,12,70,9,85
"7888","Migut.E00709.v2.0",122,164,27,124,145,85,87,105,911,27,1327,81,166,96,83,72,79,41,55,207,19,204
"7889","Migut.E00710.v2.0",441,512,73,164,549,267,217,410,3276,129,4520,133,638,172,293,315,324,157,178,678,49,658
"7890","Migut.E00711.v2.0",39,43,0,0,1,0,1,4,1,0,2,15,40,2,15,15,3,2,7,1,0,0
"7891","Migut.E00712.v2.0",2,7,1,3,11,0,3,10,31,0,73,1,4,20,7,4,1,2,4,6,0,3
"7892","Migut.E00713.v2.0",61,40,3,9,25,24,12,29,138,11,202,29,75,2,19,34,17,11,3,26,0,48
"7893","Migut.E00714.v2.0",57,83,15,39,70,28,22,70,563,17,676,44,90,31,42,27,38,18,13,89,6,150
"7894","Migut.E00715.v2.0",5,1,0,0,5,0,0,5,32,0,30,2,10,0,1,1,0,1,0,1,0,0
"7895","Migut.E00716.v2.0",0,0,0,0,5,0,0,2,34,0,58,2,0,0,0,0,0,0,0,4,0,0
"7896","Migut.E00717.v2.0",68,44,3,24,39,35,17,47,189,11,317,26,68,26,32,52,49,21,31,23,2,54
"7897","Migut.E00718.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7898","Migut.E00719.v2.0",140,329,34,74,190,104,98,256,1049,46,1565,89,475,119,216,133,124,57,55,299,13,271
"7899","Migut.E00720.v2.0",680,861,112,452,1029,263,382,410,5653,132,7139,403,1039,733,503,354,286,259,113,1170,123,1596
"7900","Migut.E00721.v2.0",176,244,24,89,178,157,92,184,1290,50,2003,97,392,123,162,174,112,50,80,169,13,283
"7901","Migut.E00722.v2.0",893,774,54,199,170,196,222,428,1390,58,2206,201,540,187,186,502,330,250,270,619,33,617
"7902","Migut.E00723.v2.0",22,33,2,84,3,47,27,46,103,15,245,58,111,46,58,29,16,13,7,112,6,43
"7903","Migut.E00724.v2.0",107,108,10,55,32,57,21,58,252,15,395,47,98,42,35,55,35,15,40,54,3,81
"7904","Migut.E00725.v2.0",14,8,3,13,34,7,7,19,137,2,275,8,23,8,20,8,1,2,1,20,1,15
"7905","Migut.E00726.v2.0",397,326,45,108,392,170,139,296,2058,100,2936,116,410,119,132,272,306,119,155,475,21,407
"7906","Migut.E00727.v2.0",372,383,37,202,462,157,148,332,2825,135,4026,199,614,153,200,169,219,109,120,465,21,478
"7907","Migut.E00728.v2.0",83,173,35,84,100,108,76,190,924,67,1142,103,310,87,97,123,104,48,62,134,7,169
"7908","Migut.E00729.v2.0",119,130,8,160,65,66,39,211,802,106,1297,88,262,87,90,64,36,31,26,65,3,70
"7909","Migut.E00730.v2.0",388,389,49,189,452,226,146,326,2648,149,3677,290,796,162,368,271,210,144,120,543,24,402
"7910","Migut.E00731.v2.0",30,37,7,12,65,21,26,49,284,7,376,23,57,36,42,17,17,9,5,47,1,47
"7911","Migut.E00732.v2.0",193,242,36,127,146,150,86,240,1073,51,1451,136,494,92,171,132,137,82,35,152,17,282
"7912","Migut.E00733.v2.0",2,0,0,10,18,1,4,0,47,4,11,8,36,7,6,2,0,0,0,0,0,0
"7913","Migut.E00734.v2.0",137,203,27,61,168,160,129,260,1134,51,1777,82,377,127,112,170,122,52,60,177,15,226
"7914","Migut.E00735.v2.0",0,1,0,0,0,0,0,0,14,0,25,1,0,0,0,1,0,1,0,0,0,2
"7915","Migut.E00736.v2.0",443,510,55,279,263,224,202,482,2118,65,2556,379,1089,276,435,188,250,157,127,469,38,637
"7916","Migut.E00737.v2.0",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
