"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"25023","Migut.N01240.v2.0",147,81,14,75,56,51,34,99,455,19,602,76,142,52,47,42,68,32,23,107,9,208
"25024","Migut.N01241.v2.0",24,19,2,8,21,9,9,25,113,8,127,11,34,7,15,18,11,5,3,11,2,19
"25025","Migut.N01242.v2.0",1884,1179,143,572,1147,972,368,1009,8473,358,10033,757,1942,508,792,1361,712,505,287,782,48,1440
"25026","Migut.N01243.v2.0",1,12,2,7,56,2,5,8,195,2,237,4,25,8,13,0,4,3,1,14,2,52
"25027","Migut.N01244.v2.0",5,18,4,14,14,14,5,11,63,4,85,5,32,3,5,2,1,5,2,10,0,19
"25028","Migut.N01245.v2.0",14,3,0,0,19,1,3,3,32,0,161,0,0,1,11,1,0,1,2,8,1,4
"25029","Migut.N01246.v2.0",0,3,1,0,1,0,3,0,6,0,19,0,6,0,3,2,0,0,2,1,0,1
"25030","Migut.N01247.v2.0",188,136,21,65,170,163,86,204,1088,54,1469,64,341,61,50,276,138,63,90,136,3,116
"25031","Migut.N01248.v2.0",193,305,44,125,233,141,94,270,1541,56,2355,106,429,108,185,245,205,99,110,310,22,414
"25032","Migut.N01249.v2.0",583,759,74,585,997,276,209,552,5326,109,7720,375,1223,325,521,420,424,277,236,1514,93,1591
"25033","Migut.N01250.v2.0",94,114,24,73,218,166,63,181,1420,56,1873,51,236,82,46,271,120,46,45,86,7,181
"25034","Migut.N01251.v2.0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"25035","Migut.N01252.v2.0",72,88,15,40,55,57,59,107,249,9,358,61,97,62,89,49,21,36,19,49,5,29
"25036","Migut.N01253.v2.0",853,829,96,313,763,477,386,937,5588,260,6713,517,1424,490,501,706,528,326,271,949,72,872
"25037","Migut.N01254.v2.0",4,5,1,8,21,2,5,3,52,3,79,6,5,4,6,1,3,0,4,3,4,10
"25038","Migut.N01255.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25039","Migut.N01256.v2.0",0,1,0,1,0,1,5,2,31,0,44,2,4,4,1,1,0,0,0,2,0,9
"25040","Migut.N01257.v2.0",0,0,0,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0
"25041","Migut.N01258.v2.0",7,16,0,12,0,3,0,10,27,0,34,11,37,12,8,10,17,7,5,14,4,25
"25042","Migut.N01259.v2.0",465,519,83,209,644,242,267,502,4061,103,5889,292,669,312,302,372,301,177,240,525,29,613
"25043","Migut.N01260.v2.0",113,151,16,79,145,74,56,152,819,35,1271,70,250,65,108,83,98,48,47,188,7,175
"25044","Migut.N01261.v2.0",492,589,105,230,488,385,237,587,2986,135,4335,309,1150,257,329,501,420,189,251,505,28,504
"25045","Migut.N01262.v2.0",0,0,0,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"25046","Migut.N01263.v2.0",204,297,42,153,223,153,109,352,2056,79,2596,149,405,126,174,151,192,101,90,276,18,480
"25047","Migut.N01264.v2.0",50,132,5,101,110,9,58,91,373,2,596,34,31,96,22,22,21,12,16,63,3,86
"25048","Migut.N01265.v2.0",32,41,9,16,20,16,13,51,162,10,220,23,76,23,23,23,16,13,20,34,5,39
"25049","Migut.N01266.v2.0",285,351,83,135,209,302,272,675,1472,83,2196,290,864,224,283,336,293,121,116,273,14,386
"25050","Migut.N01267.v2.0",0,0,0,1,7,2,0,2,12,0,22,0,0,3,1,0,0,0,0,3,0,3
"25051","Migut.N01268.v2.0",3,0,0,0,4,0,2,0,11,0,29,0,1,0,0,0,1,0,0,0,0,3
"25052","Migut.N01269.v2.0",150,160,28,46,87,105,45,133,617,26,900,88,247,54,67,139,100,73,57,105,5,167
"25053","Migut.N01270.v2.0",285,413,35,348,491,248,224,383,2678,86,4004,242,456,239,255,166,210,93,94,551,48,617
"25054","Migut.N01271.v2.0",575,781,144,428,1175,385,397,748,7002,229,10301,476,1321,412,557,415,475,212,301,1467,78,1334
"25055","Migut.N01272.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25056","Migut.N01273.v2.0",243,200,33,70,133,94,141,239,798,50,1345,97,362,114,123,230,156,85,130,195,13,189
"25057","Migut.N01274.v2.0",1,34,1,9,15,5,5,13,103,4,140,7,36,12,17,9,3,9,4,17,1,31
"25058","Migut.N01275.v2.0",12,12,1,13,1,4,2,9,46,0,153,0,0,3,7,0,1,2,1,9,0,29
"25059","Migut.N01276.v2.0",8,2,1,5,27,0,2,5,121,0,200,7,3,9,7,0,0,0,0,2,0,2
"25060","Migut.N01277.v2.0",3,12,1,5,5,4,1,8,74,1,142,1,11,4,10,1,2,0,1,6,0,12
"25061","Migut.N01278.v2.0",728,1033,106,578,1156,261,589,409,7256,116,8229,737,1225,830,744,379,300,293,224,1165,145,1440
"25062","Migut.N01279.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25063","Migut.N01280.v2.0",637,435,132,314,505,630,509,917,3981,210,6181,865,1285,381,278,575,384,204,242,409,36,745
