,genes,logFC,logCPM,PValue,FDR,log10p,sig
23705,Migut.M01961.v2.0,0.064765534,5.636883047,0.871142299,0.94285191,0.059910898,FALSE
9544,Migut.F00536.v2.0,0.02515826,8.505999897,0.871188526,0.94285191,0.059887853,FALSE
25397,Migut.N01614.v2.0,-0.004635114,4.741126146,0.872077562,0.943708316,0.059444888,FALSE
16001,Migut.I00940.v2.0,-0.13306659,6.239971799,0.872352922,0.943774538,0.05930778,FALSE
10833,Migut.F01825.v2.0,0.02588398,6.215793226,0.872399889,0.943774538,0.059284398,FALSE
10998,Migut.F01990.v2.0,-0.076645488,4.352591748,0.872565198,0.943774538,0.059202113,FALSE
4959,Migut.D00379.v2.0,0.040995864,4.742830559,0.872615406,0.943774538,0.059177124,FALSE
5365,Migut.D00785.v2.0,0.031653833,4.624725406,0.872627405,0.943774538,0.059171152,FALSE
20010,Migut.L00321.v2.0,-0.058200963,6.234499954,0.872861339,0.943921831,0.059054742,FALSE
23628,Migut.M01884.v2.0,0.07139614,4.6586221,0.873271788,0.944103277,0.05885057,FALSE
22113,Migut.M00369.v2.0,-0.037346031,5.187256173,0.873320585,0.944103277,0.058826303,FALSE
10108,Migut.F01100.v2.0,0.037332103,6.87319566,0.873322416,0.944103277,0.058825392,FALSE
23558,Migut.M01814.v2.0,-0.033731104,5.847617174,0.873791561,0.944504713,0.058592154,FALSE
10860,Migut.F01852.v2.0,-0.061702024,4.144518775,0.874180295,0.944726793,0.058398987,FALSE
24248,Migut.N00465.v2.0,0.042230833,5.948532702,0.874192671,0.944726793,0.058392839,FALSE
3031,Migut.B01786.v2.0,0.097522029,4.136395388,0.874351065,0.944792238,0.058314157,FALSE
155,Migut.A00155.v2.0,0.040063191,11.16129197,0.874823988,0.9451975,0.058079317,FALSE
11074,Migut.F02066.v2.0,-0.041153045,7.468120555,0.875290819,0.945377412,0.057847627,FALSE
4289,Migut.C01121.v2.0,-0.039778682,6.146411232,0.875681012,0.945377412,0.057654067,FALSE
15828,Migut.I00767.v2.0,0.045938127,6.355966465,0.875784541,0.945377412,0.057602725,FALSE
